fc′,dosage,fR1,fR3,as,dps,fpe,Pu,Mu,Vu,carbon,L,t,Lc,T,ID
40.0,20.0,2.97,3.5,198.0,0.0,1116.0,818.1444893031288,0.0,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,37
40.0,20.0,2.97,3.5,198.0,0.0,1116.0,507.12853953541924,0.0,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,38
40.0,20.0,2.97,3.5,198.0,0.0,1116.0,1129.1604390708385,0.0,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,39
40.0,20.0,2.97,3.5,198.0,0.0,1209.0,808.5692093031288,0.0,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,40
40.0,20.0,2.97,3.5,198.0,0.0,1209.0,497.5532595354192,0.0,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,41
40.0,20.0,2.97,3.5,198.0,0.0,1209.0,1119.5851590708385,0.0,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,42
40.0,20.0,2.97,3.5,198.0,0.0,1302.0,798.9939293031288,0.0,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,43
40.0,20.0,2.97,3.5,198.0,0.0,1302.0,487.97797953541925,0.0,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,44
40.0,20.0,2.97,3.5,198.0,0.0,1302.0,1110.0098790708385,0.0,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,45
40.0,20.0,2.97,3.5,198.0,20.0,0.0,933.0478493031288,161.83560439096092,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,46
40.0,20.0,2.97,3.5,198.0,20.0,0.0,622.0318995354193,167.38289956945968,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,47
40.0,20.0,2.97,3.5,198.0,20.0,0.0,1244.0637990708385,330.3973440666971,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,48
40.0,20.0,2.97,3.5,198.0,20.0,93.0,923.4725693031288,158.04068943853122,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,49
40.0,20.0,2.97,3.5,198.0,20.0,93.0,612.4566195354192,164.6040299040119,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,50
40.0,20.0,2.97,3.5,198.0,20.0,93.0,1234.4885190708385,325.70971705654455,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,51
40.0,20.0,2.97,3.5,198.0,20.0,186.0,913.8972893031287,154.88329856613888,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,52
40.0,20.0,2.97,3.5,198.0,20.0,186.0,602.8813395354192,162.36128437912924,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,53
40.0,20.0,2.97,3.5,198.0,20.0,186.0,1224.9132390708385,321.7135188879652,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,54
40.0,20.0,2.97,3.5,198.0,20.0,279.0,904.3220093031288,157.55808680051283,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,55
40.0,20.0,2.97,3.5,198.0,20.0,279.0,593.3060595354192,162.49446657689802,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,56
40.0,20.0,2.97,3.5,198.0,20.0,279.0,1215.3379590708385,336.8074394453335,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,57
40.0,20.0,2.97,3.5,198.0,20.0,372.0,894.7467293031287,163.92858565662462,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,58
40.0,20.0,2.97,3.5,198.0,20.0,372.0,583.7307795354193,170.20474297484554,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,59
40.0,20.0,2.97,3.5,198.0,20.0,372.0,1205.7626790708384,352.26448909816247,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,60
40.0,20.0,2.97,3.5,198.0,20.0,465.0,885.1714493031287,170.26576242254464,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,61
40.0,20.0,2.97,3.5,198.0,20.0,465.0,574.1554995354193,177.84377342475082,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,62
40.0,20.0,2.97,3.5,198.0,20.0,465.0,1196.1873990708384,367.6623398806749,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,63
40.0,20.0,2.97,3.5,198.0,20.0,558.0,875.5961693031287,176.5793375882309,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,64
40.0,20.0,2.97,3.5,198.0,20.0,558.0,564.5802195354192,185.43289098023288,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,65
40.0,20.0,2.97,3.5,198.0,20.0,558.0,1186.6121190708384,383.00226081070605,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,66
40.0,20.0,2.97,3.5,198.0,20.0,651.0,866.0208893031287,182.81349410367673,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,67
40.0,20.0,2.97,3.5,198.0,20.0,651.0,555.0049395354192,192.91888396882769,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,68
40.0,20.0,2.97,3.5,198.0,20.0,651.0,1177.0368390708384,398.26087724291943,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,69
40.0,20.0,2.97,3.5,198.0,20.0,744.0,856.4456093031288,189.0224427482589,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,70
40.0,20.0,2.97,3.5,198.0,20.0,744.0,545.4296595354192,200.3262464642375,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,71
40.0,20.0,2.97,3.5,198.0,20.0,744.0,1167.4615590708386,413.46759683106444,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,72
40.0,20.0,2.97,3.5,198.0,20.0,837.0,846.8703293031288,193.96746052211876,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,73
40.0,20.0,2.97,3.5,198.0,20.0,837.0,535.8543795354193,207.6531749179985,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,74
40.0,20.0,2.97,3.5,198.0,20.0,837.0,1157.8862790708386,419.0455439771928,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,75
40.0,20.0,2.97,3.5,198.0,20.0,930.0,837.2950493031287,191.8093015723168,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,76
40.0,20.0,2.97,3.5,198.0,20.0,930.0,526.2790995354193,208.11278753540606,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,77
40.0,20.0,2.97,3.5,198.0,20.0,930.0,1148.3109990708385,416.23432197422574,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,78
40.0,20.0,2.97,3.5,198.0,20.0,1023.0,827.7197693031287,190.37271901934852,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,79
40.0,20.0,2.97,3.5,198.0,20.0,1023.0,516.7038195354193,206.56081793394594,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,80
40.0,20.0,2.97,3.5,198.0,20.0,1023.0,1138.7357190708385,413.5776323836393,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,81
40.0,20.0,2.97,3.5,198.0,20.0,1116.0,818.1444893031288,190.31500285984913,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,82
40.0,20.0,2.97,3.5,198.0,20.0,1116.0,507.12853953541924,205.04361224895504,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,83
40.0,20.0,2.97,3.5,198.0,20.0,1116.0,1129.1604390708385,411.8310233759141,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,84
40.0,20.0,2.97,3.5,198.0,20.0,1209.0,808.5692093031288,190.31500285984913,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,85
40.0,20.0,2.97,3.5,198.0,20.0,1209.0,497.5532595354192,204.39292197723577,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,86
40.0,20.0,2.97,3.5,198.0,20.0,1209.0,1119.5851590708385,411.8310233759141,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,87
