fc′,dosage,fR1,fR3,as,dps,fpe,Pu,Mu,Vu,carbon,L,t,Lc,T,ID
28.0,20.0,2.08574,2.671598,157.07963267948966,0.0,0.0,484.43117507079427,66.7983718676101,22.358575532642444,13.793358113017348,205.0,35.0,30.0,2.0,1
28.0,20.0,2.08574,2.671598,157.07963267948966,0.0,93.0,476.8348040344141,65.80781303463813,44.52373937355388,13.793358113017348,205.0,35.0,30.0,2.0,2
28.0,20.0,2.08574,2.671598,157.07963267948966,0.0,186.0,469.23843299803406,64.81725420166619,44.52373937355388,13.793358113017348,205.0,35.0,30.0,2.0,3
28.0,20.0,2.08574,2.671598,157.07963267948966,0.0,279.0,461.64206196165395,63.82669536869423,44.52373937355388,13.793358113017348,205.0,35.0,30.0,2.0,4
28.0,20.0,2.08574,2.671598,157.07963267948966,0.0,372.0,454.04569092527373,62.836136535722275,44.52373937355388,13.793358113017348,205.0,35.0,30.0,2.0,5
28.0,20.0,2.08574,2.671598,226.1946710584651,0.0,0.0,505.99506704503455,66.7983718676101,25.24827015680925,14.55293238480229,205.0,35.0,30.0,2.0,6
28.0,20.0,2.08574,2.671598,226.1946710584651,0.0,93.0,495.05629275264727,65.37196714813048,47.41343399772068,14.55293238480229,205.0,35.0,30.0,2.0,7
28.0,20.0,2.08574,2.671598,226.1946710584651,0.0,186.0,484.1175184602599,63.94556242865087,47.41343399772068,14.55293238480229,205.0,35.0,30.0,2.0,8
28.0,20.0,2.08574,2.671598,226.1946710584651,0.0,279.0,473.1787441678725,62.51915770917126,47.41343399772068,14.55293238480229,205.0,35.0,30.0,2.0,9
28.0,20.0,2.08574,2.671598,226.1946710584651,0.0,372.0,462.2399698754851,61.09275298969165,47.41343399772068,14.55293238480229,205.0,35.0,30.0,2.0,10
28.0,20.0,2.08574,2.671598,307.8760800517997,0.0,0.0,531.479666650955,66.7983718676101,27.980973591693786,15.450611069639036,205.0,35.0,30.0,2.0,11
28.0,20.0,2.08574,2.671598,307.8760800517997,0.0,93.0,516.59077941965,64.85687655498506,50.146137432605215,15.450611069639036,205.0,35.0,30.0,2.0,12
28.0,20.0,2.08574,2.671598,307.8760800517997,0.0,186.0,501.70189218834497,62.915381242360034,50.146137432605215,15.450611069639036,205.0,35.0,30.0,2.0,13
