fc′,fR1,fR3,as,dps,fpe,Pu,Mu,Vu,carbon,L,t,Lc,T,ID
28.0,2.08574,2.671598,198.0,0.0,0.0,653.1334945121903,0.0,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,1
28.0,2.08574,2.671598,198.0,0.0,93.0,643.5582145121901,0.0,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,2
28.0,2.08574,2.671598,198.0,0.0,186.0,633.9829345121901,0.0,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,3
28.0,2.08574,2.671598,198.0,0.0,279.0,624.4076545121902,0.0,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,4
28.0,2.08574,2.671598,198.0,0.0,372.0,614.8323745121902,0.0,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,5
28.0,2.08574,2.671598,198.0,0.0,465.0,605.2570945121902,0.0,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,6
28.0,2.08574,2.671598,198.0,0.0,558.0,595.6818145121902,0.0,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,7
28.0,2.08574,2.671598,198.0,0.0,651.0,586.1065345121903,0.0,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,8
28.0,2.08574,2.671598,198.0,0.0,744.0,576.5312545121902,0.0,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,9
28.0,2.08574,2.671598,198.0,0.0,837.0,566.9559745121902,0.0,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,10
28.0,2.08574,2.671598,198.0,0.0,930.0,557.3806945121902,0.0,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,11
28.0,2.08574,2.671598,198.0,0.0,1023.0,547.8054145121903,0.0,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,12
28.0,2.08574,2.671598,198.0,0.0,1116.0,538.2301345121903,0.0,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,13
28.0,2.08574,2.671598,198.0,0.0,1209.0,528.6548545121902,0.0,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,14
28.0,2.08574,2.671598,198.0,0.0,1302.0,519.0795745121902,0.0,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,15
28.0,2.08574,2.671598,198.0,20.0,0.0,653.1334945121903,112.36121710422537,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,16
28.0,2.08574,2.671598,198.0,20.0,93.0,643.5582145121901,108.93204757998271,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,17
28.0,2.08574,2.671598,198.0,20.0,186.0,633.9829345121901,106.16653546833547,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,18
28.0,2.08574,2.671598,198.0,20.0,279.0,624.4076545121902,105.37560530756775,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,19
28.0,2.08574,2.671598,198.0,20.0,372.0,614.8323745121902,109.3323373333629,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,20
28.0,2.08574,2.671598,198.0,20.0,465.0,605.2570945121902,113.29421327838202,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,21
28.0,2.08574,2.671598,198.0,20.0,558.0,595.6818145121902,117.20581070297004,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,22
28.0,2.08574,2.671598,198.0,20.0,651.0,586.1065345121903,121.12954106537869,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,23
28.0,2.08574,2.671598,198.0,20.0,744.0,576.5312545121902,125.01483531800356,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,24
28.0,2.08574,2.671598,198.0,20.0,837.0,566.9559745121902,128.90462764095548,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,25
28.0,2.08574,2.671598,198.0,20.0,930.0,557.3806945121902,129.16804657576478,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,26
28.0,2.08574,2.671598,198.0,20.0,1023.0,547.8054145121903,129.16804657576478,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,27
28.0,2.08574,2.671598,198.0,20.0,1116.0,538.2301345121903,129.16804657576478,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,28
28.0,2.08574,2.671598,198.0,20.0,1209.0,528.6548545121902,129.16804657576478,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,29
28.0,2.08574,2.671598,198.0,20.0,1302.0,519.0795745121902,129.16804657576478,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,30
28.0,2.08574,2.671598,198.0,40.0,0.0,653.1334945121903,128.68955446703015,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,31
28.0,2.08574,2.671598,198.0,40.0,93.0,643.5582145121901,125.26038494278747,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,32
28.0,2.08574,2.671598,198.0,40.0,186.0,633.9829345121901,122.49487283114023,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,33
28.0,2.08574,2.671598,198.0,40.0,279.0,624.4076545121902,121.9512770113503,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,34
28.0,2.08574,2.671598,198.0,40.0,372.0,614.8323745121902,126.8814291491588,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,35
28.0,2.08574,2.671598,198.0,40.0,465.0,605.2570945121902,131.81672520619134,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,36
28.0,2.08574,2.671598,198.0,40.0,558.0,595.6818145121902,136.70174274279267,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,37
28.0,2.08574,2.671598,198.0,40.0,651.0,586.1065345121903,141.5988932172147,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,38
28.0,2.08574,2.671598,198.0,40.0,744.0,576.5312545121902,146.45760758185298,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,39
28.0,2.08574,2.671598,198.0,40.0,837.0,566.9559745121902,151.3208200168182,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,40
28.0,2.08574,2.671598,198.0,40.0,930.0,557.3806945121902,150.9221876647661,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,41
28.0,2.08574,2.671598,198.0,40.0,1023.0,547.8054145121903,149.3374121269697,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,42
28.0,2.08574,2.671598,198.0,40.0,1116.0,538.2301345121903,149.56447013488219,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,43
28.0,2.08574,2.671598,198.0,40.0,1209.0,528.6548545121902,149.56447013488219,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,44
28.0,2.08574,2.671598,198.0,40.0,1302.0,519.0795745121902,149.56447013488219,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,45
28.0,2.08574,2.671598,198.0,60.0,0.0,653.1334945121903,145.01789182983487,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,46
28.0,2.08574,2.671598,198.0,60.0,93.0,643.5582145121901,141.5887223055922,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,47
28.0,2.08574,2.671598,198.0,60.0,186.0,633.9829345121901,138.82321019394496,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,48
28.0,2.08574,2.671598,198.0,60.0,279.0,624.4076545121902,138.52694871513287,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,49
28.0,2.08574,2.671598,198.0,60.0,372.0,614.8323745121902,144.43052096495475,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,50
28.0,2.08574,2.671598,198.0,60.0,465.0,605.2570945121902,150.3392371340006,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,51
28.0,2.08574,2.671598,198.0,60.0,558.0,595.6818145121902,156.1976747826153,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,52
28.0,2.08574,2.671598,198.0,60.0,651.0,586.1065345121903,162.06824536905071,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,53
28.0,2.08574,2.671598,198.0,60.0,744.0,576.5312545121902,167.90037984570233,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,54
28.0,2.08574,2.671598,198.0,60.0,837.0,566.9559745121902,173.73701239268095,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,55
28.0,2.08574,2.671598,198.0,60.0,930.0,557.3806945121902,173.53065478249576,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,56
28.0,2.08574,2.671598,198.0,60.0,1023.0,547.8054145121903,171.94587924469937,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,57
28.0,2.08574,2.671598,198.0,60.0,1116.0,538.2301345121903,170.3895550874449,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,58
28.0,2.08574,2.671598,198.0,60.0,1209.0,528.6548545121902,170.20259158697337,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,59
28.0,2.08574,2.671598,198.0,60.0,1302.0,519.0795745121902,170.20259158697337,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,60
28.0,2.08574,2.671598,198.0,80.0,0.0,653.1334945121903,161.34622919263964,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,61
28.0,2.08574,2.671598,198.0,80.0,93.0,643.5582145121901,157.91705966839697,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,62
28.0,2.08574,2.671598,198.0,80.0,186.0,633.9829345121901,155.15154755674973,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,63
28.0,2.08574,2.671598,198.0,80.0,279.0,624.4076545121902,155.10262041891545,64.89626595247225,17.96379766329776,205.0,35.0,30.0,3.0,64
