fc′,as,ec,fpe,Pu,Mu,Vu,carbon,ID
28.0,99.0,0.05,0.0,627.7722672445823,109.65913396855397,17.738714495081116,16.65411779534618,1
28.0,99.0,0.05,46.5,625.3784472445823,108.64103939979435,17.738579842706116,16.65411779534618,2
28.0,99.0,0.05,93.0,622.9846272445823,107.70569761814421,17.738445190331117,16.65411779534618,3
28.0,99.0,0.05,139.5,620.5908072445824,106.84643659085438,17.738310537956117,16.65411779534618,4
28.0,99.0,0.05,186.0,618.1969872445823,106.03164837212599,17.738175885581118,16.65411779534618,5
28.0,99.0,0.05,232.5,615.8031672445823,108.38198075956234,17.73804123320612,16.65411779534618,6
28.0,99.0,0.05,279.0,613.4093472445822,110.74753419688851,17.737906580831115,16.65411779534618,7
28.0,99.0,0.05,325.5,611.0155272445824,113.1164446001621,17.737771928456116,16.65411779534618,8
28.0,99.0,0.05,372.0,608.6217072445822,115.47762778372984,17.737637276081117,16.65411779534618,9
28.0,99.0,0.05,418.5,606.2278872445822,117.84573847670123,17.737502623706114,16.65411779534618,10
28.0,99.0,0.05,465.0,603.8340672445823,120.17668396885985,17.737367971331118,16.65411779534618,11
28.0,99.0,0.05,511.5,601.4402472445822,122.51116330084864,17.737233318956118,16.65411779534618,12
28.0,99.0,0.05,558.0,599.0464272445822,124.80539538504198,17.737098666581115,16.65411779534618,13
28.0,99.0,0.05,604.5,596.6526072445823,127.10178530055491,17.736964014206116,16.65411779534618,14
28.0,99.0,0.05,651.0,594.2587872445823,129.3855646978728,17.73682936183112,16.65411779534618,15
28.0,99.0,0.05,697.5,591.8649672445822,131.64028699996874,17.736694709456113,16.65411779534618,16
28.0,99.0,0.05,744.0,589.4711472445822,133.8809036255689,17.736560057081114,16.65411779534618,17
28.0,99.0,0.05,790.5,587.0773272445823,135.8586102792226,17.736425404706115,16.65411779534618,18
28.0,99.0,0.05,837.0,584.6835072445823,135.1484934271851,17.736290752331115,16.65411779534618,19
28.0,99.0,0.05,883.5,582.2896872445822,134.4538442177463,17.736156099956116,16.65411779534618,20
28.0,99.0,0.05,930.0,579.8958672445823,133.78275123686944,17.736021447581116,16.65411779534618,21
28.0,99.0,0.05,976.5,577.5020472445823,133.10342548435924,17.735886795206117,16.65411779534618,22
28.0,99.0,0.05,1023.0,575.1082272445823,132.4495226583957,17.735752142831117,16.65411779534618,23
28.0,99.0,0.05,1069.5,572.7144072445823,131.78949936339265,17.735617490456114,16.65411779534618,24
28.0,99.0,0.05,1116.0,570.3205872445823,131.55715237036839,17.735482838081115,16.65411779534618,25
28.0,99.0,0.05,1162.5,567.9267672445823,131.55715237036839,17.735348185706115,16.65411779534618,26
28.0,99.0,0.05,1209.0,565.5329472445823,131.55715237036839,17.735213533331116,16.65411779534618,27
28.0,99.0,0.05,1255.5,563.1391272445823,131.55715237036839,17.735078880956113,16.65411779534618,28
28.0,99.0,0.05,1302.0,560.7453072445822,131.55715237036839,17.734944228581117,16.65411779534618,29
28.0,99.0,0.075,0.0,627.7722672445823,114.56360480640227,17.738714495081116,16.65411779534618,30
28.0,99.0,0.075,46.5,625.3784472445823,113.54551023764265,17.738579842706116,16.65411779534618,31
28.0,99.0,0.075,93.0,622.9846272445823,112.61016845599252,17.738445190331117,16.65411779534618,32
28.0,99.0,0.075,139.5,620.5908072445824,111.75090742870269,17.738310537956117,16.65411779534618,33
28.0,99.0,0.075,186.0,618.1969872445823,110.93611920997428,17.738175885581118,16.65411779534618,34
28.0,99.0,0.075,232.5,615.8031672445823,113.4309592225388,17.73804123320612,16.65411779534618,35
28.0,99.0,0.075,279.0,613.4093472445822,115.94270361753162,17.737906580831115,16.65411779534618,36
28.0,99.0,0.075,325.5,611.0155272445824,118.45780497847184,17.737771928456116,16.65411779534618,37
28.0,99.0,0.075,372.0,608.6217072445822,120.96517911970622,17.737637276081117,16.65411779534618,38
28.0,99.0,0.075,418.5,606.2278872445822,123.47948077034424,17.737502623706114,16.65411779534618,39
28.0,99.0,0.075,465.0,603.8340672445823,125.95661722016948,17.737367971331118,16.65411779534618,40
28.0,99.0,0.075,511.5,601.4402472445822,128.4372875098249,17.737233318956118,16.65411779534618,41
28.0,99.0,0.075,558.0,599.0464272445822,130.87771055168488,17.737098666581115,16.65411779534618,42
28.0,99.0,0.075,604.5,596.6526072445823,133.32029142486445,17.736964014206116,16.65411779534618,43
28.0,99.0,0.075,651.0,594.2587872445823,135.75026177984898,17.73682936183112,16.65411779534618,44
28.0,99.0,0.075,697.5,591.8649672445822,138.1511750396115,17.736694709456113,16.65411779534618,45
28.0,99.0,0.075,744.0,589.4711472445822,140.53798262287833,17.736560057081114,16.65411779534618,46
28.0,99.0,0.075,790.5,587.0773272445823,142.64941605470486,17.736425404706115,16.65411779534618,47
28.0,99.0,0.075,837.0,584.6835072445823,141.9392992026673,17.736290752331115,16.65411779534618,48
28.0,99.0,0.075,883.5,582.2896872445822,141.24464999322856,17.736156099956116,16.65411779534618,49
