fc′,fR1,fR3,as,dps,fpe,Pu,Mu,Vu,carbon,L,t,Lc,T,ID
40.0,4.01,4.72,198.0,0.0,0.0,933.0478493031288,0.0,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,1
40.0,4.01,4.72,198.0,0.0,93.0,923.4725693031288,0.0,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,2
40.0,4.01,4.72,198.0,0.0,186.0,913.8972893031287,0.0,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,3
40.0,4.01,4.72,198.0,0.0,279.0,904.3220093031288,0.0,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,4
40.0,4.01,4.72,198.0,0.0,372.0,894.7467293031287,0.0,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,5
40.0,4.01,4.72,198.0,0.0,465.0,885.1714493031287,0.0,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,6
40.0,4.01,4.72,198.0,0.0,558.0,875.5961693031287,0.0,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,7
40.0,4.01,4.72,198.0,0.0,651.0,866.0208893031287,0.0,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,8
40.0,4.01,4.72,198.0,0.0,744.0,856.4456093031288,0.0,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,9
40.0,4.01,4.72,198.0,0.0,837.0,846.8703293031288,0.0,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,10
40.0,4.01,4.72,198.0,0.0,930.0,837.2950493031287,0.0,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,11
40.0,4.01,4.72,198.0,0.0,1023.0,827.7197693031287,0.0,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,12
40.0,4.01,4.72,198.0,0.0,1116.0,818.1444893031288,0.0,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,13
40.0,4.01,4.72,198.0,0.0,1209.0,808.5692093031288,0.0,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,14
40.0,4.01,4.72,198.0,0.0,1302.0,798.9939293031288,0.0,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,15
40.0,4.01,4.72,198.0,20.0,0.0,933.0478493031288,161.83560439096092,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,16
40.0,4.01,4.72,198.0,20.0,93.0,923.4725693031288,158.04068943853122,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,17
40.0,4.01,4.72,198.0,20.0,186.0,913.8972893031287,154.88329856613888,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,18
40.0,4.01,4.72,198.0,20.0,279.0,904.3220093031288,157.55808680051283,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,19
40.0,4.01,4.72,198.0,20.0,372.0,894.7467293031287,163.92858565662462,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,20
40.0,4.01,4.72,198.0,20.0,465.0,885.1714493031287,170.26576242254464,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,21
40.0,4.01,4.72,198.0,20.0,558.0,875.5961693031287,176.5793375882309,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,22
40.0,4.01,4.72,198.0,20.0,651.0,866.0208893031287,182.81349410367673,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,23
40.0,4.01,4.72,198.0,20.0,744.0,856.4456093031288,189.0224427482589,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,24
40.0,4.01,4.72,198.0,20.0,837.0,846.8703293031288,193.96746052211876,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,25
40.0,4.01,4.72,198.0,20.0,930.0,837.2950493031287,191.8093015723168,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,26
40.0,4.01,4.72,198.0,20.0,1023.0,827.7197693031287,190.37271901934852,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,27
40.0,4.01,4.72,198.0,20.0,1116.0,818.1444893031288,190.31500285984913,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,28
40.0,4.01,4.72,198.0,20.0,1209.0,808.5692093031288,190.31500285984913,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,29
40.0,4.01,4.72,198.0,20.0,1302.0,798.9939293031288,190.31500285984913,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,30
40.0,4.01,4.72,198.0,40.0,0.0,933.0478493031288,185.16180062353916,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,31
40.0,4.01,4.72,198.0,40.0,93.0,923.4725693031288,181.36688567110946,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,32
40.0,4.01,4.72,198.0,40.0,186.0,913.8972893031287,178.20949479871715,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,33
40.0,4.01,4.72,198.0,40.0,279.0,904.3220093031288,181.71587007335307,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,34
40.0,4.01,4.72,198.0,40.0,372.0,894.7467293031287,189.476969089484,87.08997607624036,21.60232257068908,205.0,35.0,30.0,3.0,35
